_id,price,Marque,Modele,Annee,Energie,Kilometrage,Couleur,options[0],options[1],options[2],options[3],options[4],options[5],options[6],options[7],options[8],options[9],options[10],options[11],options[12],options[13],options[14],__v
66226547ad4c164ca6fa5f30,180 Millions,Baic,D20 Coupé,2021,GPL,80000km,Gris Argent,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Vitres éléctriques,,,,,,0
66226549ad4c164ca6fa5f32,340 Millions,Volkswagen,Golf 7,2014,Essence,169000km,Blanc,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,0
6622654aad4c164ca6fa5f34,1 Millions,Mercedes,Class A 200 diyazel,2023,Diesel,19000km,Blanc,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,0
6622654cad4c164ca6fa5f36,162 Millions,Peugeot,208,2013,Diesel,400km,Blanc,Climatisation,Toit ouvrant,Retroviseurs électriques,Jantes Alliage,Vitres éléctriques,,,,,,,,,,,0
6622654dad4c164ca6fa5f38,1 Millions,Mercedes,Gle,2023,Diesel,00km,Noir,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,,,,,,0
6622654fad4c164ca6fa5f3a,328 Millions,Fiat,doblo,2023,Diesel,2595km,Gris Argent,,,,,,,,,,,,,,,,0
66226551ad4c164ca6fa5f3c,290 Millions,Chery,Gx3,2024,Essence,100km,Gris,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,0
66226552ad4c164ca6fa5f3e,160 Millions,Mercedes,Classe C,2003,Diesel,420000km,Bleu Nuit,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,0
66226554ad4c164ca6fa5f40,840 Millions,Skoda,Octavia,2023,Diesel,15000km,Bleu,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,,0
66226556ad4c164ca6fa5f42,210 Millions,Volkswagen,Golf 4,2001,Essence,115000km,Rouge,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,0
6622655aad4c164ca6fa5f44,36 Millions,Fiat,DOBLO,2024,Diesel,00000km,Gris Alluminium,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Feux du jour,Vitres éléctriques,,,,,,0
6622655cad4c164ca6fa5f46,316 Millions,Fiat,Doblo,2023,Diesel,7500km,Blanc,Climatisation,ABS,ESP,Direction assisstée,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,,,0
6622655dad4c164ca6fa5f48,1 Millions,Fiat Professional,Doblo,2024,Diesel,30km,Gris Argent,,,,,,,,,,,,,,,,0
6622655fad4c164ca6fa5f4a,58 Millions,Suzuki,Maruti 800,2006,Essence,900000km,Noir,,,,,,,,,,,,,,,,0
66226561ad4c164ca6fa5f4c,111 Millions,Hyundai,Accent,2015,Essence,400000km,Gris Champagne,Climatisation,Direction assisstée,Phares antibrouillard,Radio CD,Vitres éléctriques,,,,,,,,,,,0
66226562ad4c164ca6fa5f4e,1 Millions,Hyundai,Accent,2015,GPL,306000km,Gris,Climatisation,ABS,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Vitres éléctriques,,,,,,,,0
66226566ad4c164ca6fa5f50,1 Millions,Toyota,Corolla Verso,2007,Diesel,385km,Gris,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,0
66226568ad4c164ca6fa5f52,1 Millions,Renault,Captur,2013,Diesel,300km,Blanc,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,0
6622656bad4c164ca6fa5f54,280 Millions,Fiat,500X,2023,Essence,1400km,Bleu Turquoise,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,0
6622656cad4c164ca6fa5f56,145 Millions,Peugeot,208,2013,Diesel,294000km,,,,,,,,,,,,,,,,,0
6622656ead4c164ca6fa5f58,610 Millions,Volkswagen,Golf 8,2021,Essence,20000km,Gris,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,0
66226570ad4c164ca6fa5f5a,330 Millions,Hyundai,creta,2017,Diesel,77.000km,Noir,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,,0
66226572ad4c164ca6fa5f5c,123 Millions,Kia,Rio,2019,Essence,66000km,Bleu Nuit,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,,0
66226573ad4c164ca6fa5f5e,1 360 Millions,Audi,Q3,2024,Diesel,,Noir,,,,,,,,,,,,,,,,0
66226575ad4c164ca6fa5f60,355 Millions,Fiat Professional,Doblo,2024,Diesel,30km,Gris Souris,Climatisation,ABS,ESP,Direction assisstée,Phares antibrouillard,Radio CD,Feux du jour,Vitres éléctriques,,,,,,,,0
66226577ad4c164ca6fa5f62,450 Millions,Skoda,Fabia Facelift,2022,Essence,18000km,Noir,,,,,,,,,,,,,,,,0
66226578ad4c164ca6fa5f64,111 Millions,Dacia,Sandero,2019,Diesel,73000km,Gris Alluminium,Climatisation,Toit ouvrant,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,0
6622657ead4c164ca6fa5f66,195 Millions,Seat,Ibiza,2012,Diesel,308000km,Blanc,Climatisation,Toit ouvrant,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,0
6622657fad4c164ca6fa5f68,155 Millions,Peugeot,207,2013,GPL,241000km,Blanc,ABS,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Vitres éléctriques,,,,,,,,,0
