Date,Vues,Papiers,Couleur,Boite,Energie,Moteur,Finition,Modele,Marque,Kilometrage,Annee,options,price
16/03/2024 17:07:49,1,Carte grise / safia,Gris Manitoba,Automatique,Essence,1.4 ess 100ch BVA,Prestige,i20,Hyundai,160000km,2018,"Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques",215 Millions
16/03/2024 17:07:35,4,Carte grise / safia,Gris,Manuelle,GPL,1.5 ess 85ch,LT,Aveo 4 portes,Chevrolet,500km,2008,"Climatisation,Direction assisstée,Radio CD",95 Millions
16/03/2024 17:07:26,,Carte grise / safia,Gris Argent,Automatique,Diesel,2.0 CRDI 177 4x2,Premium,Sportage,Kia,160000km,2016,"Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques",400 Millions
16/03/2024 17:07:24,2,Carte grise / safia,Blanc,,Essence,1.8 ess 79ch,504,504,Peugeot,568869km,1979,,50 Millions
16/03/2024 17:07:22,,Carte grise / safia,Autre,Manuelle,Diesel,2.0 Hdi,XL-7,Grand Vitara,Suzuki,378000km,2007,"Climatisation,ABS,Direction assisstée,Retroviseurs électriques,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques",110 Millions
16/03/2024 17:07:18,3,Carte grise / safia,Gris,Manuelle,Diesel,1.5 DCI 90ch,,Kangoo,Renault,194km,2020,,999 Millions
16/03/2024 17:07:05,,Carte grise / safia,Blanc,Automatique,Diesel,250 CDI BlueEfficiency,,Classe C,Mercedes,258524km,2011,"Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques",200 Millions
16/03/2024 17:06:58,6,Carte grise / safia,Blanc,Manuelle,Diesel,1.6 HDI 90ch,Tepee,Partner,Peugeot,330000km,2011,"Climatisation,ABS,Retroviseurs électriques,Alarme,Jantes Alliage",120 Millions
16/03/2024 17:06:56,6,Carte grise / safia,Noir,Automatique,Essence,1.0 ess 68ch,Lite Base,Spark,Chevrolet,227000km,2012,,1 Millions
16/03/2024 17:06:53,10,Carte grise / safia,Maron Chocolat,Manuelle,Essence,1.4 ess 85ch,Life,Polo,Volkswagen,298km,2014,,197.50 Millions
16/03/2024 17:06:50,8,Carte grise / safia,Gris Alluminium,Manuelle,Essence,1.2 ess 16V 75ch,Symbol,Symbol,Renault,66000km,2018,"Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques",1 Millions
16/03/2024 17:06:46,1,Carte grise / safia,Gris Argent,Automatique,Diesel,2.0 TDI 140ch DSG,Style,Tiguan,Volkswagen,350000km,2013,"Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques",260 Millions
16/03/2024 17:06:41,5,Carte grise / safia,Noir,Manuelle,Essence,1.2 ess 16V 75ch,Bye bye,Clio Campus,Renault,11km,2012,"Climatisation,ABS,Alarme,Jantes Alliage",109 Millions
16/03/2024 17:06:39,,Carte grise / safia,Gris Souris,Automatique,Essence,1.6 110 ch,life,Tipo,Fiat,9500km,2023,"Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques",345 Millions
16/03/2024 17:06:35,4,Carte grise / safia,Rouge,Automatique,Essence,1.3 hybride,,Captur,Renault,40000km,2021,"Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques",500 Millions
